Index,HexValue,DecimalValue,Timestamp
145,8887,34951,2026-04-04 23:59:05.232
146,676A,26474,2026-04-04 23:59:05.236
147,67DD,26589,2026-04-04 23:59:05.239
148,3AE7,15079,2026-04-04 23:59:05.242
149,C9C5,51653,2026-04-04 23:59:05.245
150,C92A,51498,2026-04-04 23:59:05.248
151,E5EE,58862,2026-04-04 23:59:05.251
152,2356,9046,2026-04-04 23:59:05.254
153,8888,34952,2026-04-04 23:59:05.258
154,9E24,40484,2026-04-04 23:59:05.261
155,3ED9,16089,2026-04-04 23:59:05.264
156,93C7,37831,2026-04-04 23:59:05.267
157,D3C2,54210,2026-04-04 23:59:05.270
158,9BA4,39844,2026-04-04 23:59:05.273
159,6DB0,28080,2026-04-04 23:59:05.276
160,BADC,47836,2026-04-04 23:59:05.280
161,0778,1912,2026-04-04 23:59:05.283
162,68C5,26821,2026-04-04 23:59:05.286
163,C0EB,49387,2026-04-04 23:59:05.289
164,7CC2,31938,2026-04-04 23:59:05.292
165,134F,4943,2026-04-04 23:59:05.295
166,C397,50071,2026-04-04 23:59:05.298
167,29B4,10676,2026-04-04 23:59:05.302
168,F397,62359,2026-04-04 23:59:05.305
169,03E8,1000,2026-04-04 23:59:05.308
170,B00F,45071,2026-04-04 23:59:05.311
171,28AE,10414,2026-04-04 23:59:05.314
172,828A,33418,2026-04-04 23:59:05.317
173,340B,13323,2026-04-04 23:59:05.320
174,65FC,26108,2026-04-04 23:59:05.323
175,0DB2,3506,2026-04-04 23:59:05.327
176,07C0,1984,2026-04-04 23:59:05.330
177,328A,12938,2026-04-04 23:59:05.333
178,5757,22359,2026-04-04 23:59:05.336
179,C30D,49933,2026-04-04 23:59:05.339
180,4D7A,19834,2026-04-04 23:59:05.342
181,5537,21815,2026-04-04 23:59:05.345
182,3614,13844,2026-04-04 23:59:05.349
183,E060,57440,2026-04-04 23:59:05.352
184,0C87,3207,2026-04-04 23:59:05.355
185,3FD6,16342,2026-04-04 23:59:05.358
186,3C1D,15389,2026-04-04 23:59:05.361
187,F5C2,62914,2026-04-04 23:59:05.364
188,5BCD,23501,2026-04-04 23:59:05.367
189,60EE,24814,2026-04-04 23:59:05.371
190,6E59,28249,2026-04-04 23:59:05.374
191,BE5B,48731,2026-04-04 23:59:05.377
192,7682,30338,2026-04-04 23:59:05.380
193,41D5,16853,2026-04-04 23:59:05.383
194,6599,26009,2026-04-04 23:59:05.386
195,D12A,53546,2026-04-04 23:59:05.389
196,72D4,29396,2026-04-04 23:59:05.393
197,EC37,60471,2026-04-04 23:59:05.396
198,3A21,14881,2026-04-04 23:59:05.399
199,29A9,10665,2026-04-04 23:59:05.402
200,8E00,36352,2026-04-04 23:59:05.405
201,E996,59798,2026-04-04 23:59:05.408
202,A923,43299,2026-04-04 23:59:05.411
203,A020,40992,2026-04-04 23:59:05.415
204,2C86,11398,2026-04-04 23:59:05.418
205,D60B,54795,2026-04-04 23:59:05.421
206,E182,57730,2026-04-04 23:59:05.424
207,379E,14238,2026-04-04 23:59:05.427
208,8A25,35365,2026-04-04 23:59:05.430
209,C7F2,51186,2026-04-04 23:59:05.433
210,C329,49961,2026-04-04 23:59:05.437
211,179A,6042,2026-04-04 23:59:05.440
212,A473,42099,2026-04-04 23:59:05.443
213,8C8A,35978,2026-04-04 23:59:05.446
214,2C94,11412,2026-04-04 23:59:05.449
215,23A3,9123,2026-04-04 23:59:05.452
216,7B58,31576,2026-04-04 23:59:05.455
217,D9DD,55773,2026-04-04 23:59:05.459
218,CBE8,52200,2026-04-04 23:59:05.462
219,3EF9,16121,2026-04-04 23:59:05.465
220,CF18,53016,2026-04-04 23:59:05.468
221,684A,26698,2026-04-04 23:59:05.471
222,5B05,23301,2026-04-04 23:59:05.474
223,6E59,28249,2026-04-04 23:59:05.477
224,B271,45681,2026-04-04 23:59:05.481
225,FE28,65064,2026-04-04 23:59:05.484
226,BE49,48713,2026-04-04 23:59:05.487
227,8231,33329,2026-04-04 23:59:05.490
228,54DD,21725,2026-04-04 23:59:05.493
229,4BDD,19421,2026-04-04 23:59:05.496
230,6EC4,28356,2026-04-04 23:59:05.499
231,142C,5164,2026-04-04 23:59:05.503
232,4A48,19016,2026-04-04 23:59:05.506
233,D4E0,54496,2026-04-04 23:59:05.509
234,CF57,53079,2026-04-04 23:59:05.512
235,3308,13064,2026-04-04 23:59:05.515
236,D9E0,55776,2026-04-04 23:59:05.518
237,8D80,36224,2026-04-04 23:59:05.521
238,4B3F,19263,2026-04-04 23:59:05.525
239,78EA,30954,2026-04-04 23:59:05.528
240,2BBA,11194,2026-04-04 23:59:05.531
241,57B6,22454,2026-04-04 23:59:05.534
242,A325,41765,2026-04-04 23:59:05.537
243,3212,12818,2026-04-04 23:59:05.540
244,FC39,64569,2026-04-04 23:59:05.543
245,FCB1,64689,2026-04-04 23:59:05.547
246,672A,26410,2026-04-04 23:59:05.550
247,C31F,49951,2026-04-04 23:59:05.553
248,05F3,1523,2026-04-04 23:59:05.556
249,0F4E,3918,2026-04-04 23:59:05.559
250,470E,18190,2026-04-04 23:59:05.562
251,A1D8,41432,2026-04-04 23:59:05.565
252,6A56,27222,2026-04-04 23:59:05.569
253,3C5E,15454,2026-04-04 23:59:05.572
254,B5B6,46518,2026-04-04 23:59:05.575
255,2438,9272,2026-04-04 23:59:05.578
256,B568,46440,2026-04-04 23:59:05.581
257,DB94,56212,2026-04-04 23:59:05.584
258,8FAE,36782,2026-04-04 23:59:05.587
259,867F,34431,2026-04-04 23:59:05.591
260,1E3D,7741,2026-04-04 23:59:05.594
261,04F7,1271,2026-04-04 23:59:05.597
262,D14B,53579,2026-04-04 23:59:05.600
263,0126,294,2026-04-04 23:59:05.603
264,844B,33867,2026-04-04 23:59:05.606
265,6642,26178,2026-04-04 23:59:05.609
266,BBBB,48059,2026-04-04 23:59:05.613
267,7895,30869,2026-04-04 23:59:05.616
268,C4FC,50428,2026-04-04 23:59:05.619
269,636A,25450,2026-04-04 23:59:05.622
270,DC08,56328,2026-04-04 23:59:05.625
271,8405,33797,2026-04-04 23:59:05.628
272,C270,49776,2026-04-04 23:59:05.631
273,E17D,57725,2026-04-04 23:59:05.635
274,9B7B,39803,2026-04-04 23:59:05.638
275,1E60,7776,2026-04-04 23:59:05.641
276,1491,5265,2026-04-04 23:59:05.644
277,7855,30805,2026-04-04 23:59:05.647
278,3EA5,16037,2026-04-04 23:59:05.650
279,94C9,38089,2026-04-04 23:59:05.653
280,98C0,39104,2026-04-04 23:59:05.657
281,B7D6,47062,2026-04-04 23:59:05.660
282,C0E1,49377,2026-04-04 23:59:05.663
283,488F,18575,2026-04-04 23:59:05.666
284,DC53,56403,2026-04-04 23:59:05.669
285,D491,54417,2026-04-04 23:59:05.672
286,BCBD,48317,2026-04-04 23:59:05.675
287,886D,34925,2026-04-04 23:59:05.678
288,3ACE,15054,2026-04-04 23:59:05.682
289,CD2A,52522,2026-04-04 23:59:05.685
290,B705,46853,2026-04-04 23:59:05.688
291,F832,63538,2026-04-04 23:59:05.691
292,D0D4,53460,2026-04-04 23:59:05.694
293,0727,1831,2026-04-04 23:59:05.697
294,30CA,12490,2026-04-04 23:59:05.700
295,3C35,15413,2026-04-04 23:59:05.704
296,1CCE,7374,2026-04-04 23:59:05.707
297,43A8,17320,2026-04-04 23:59:05.710
298,B8E1,47329,2026-04-04 23:59:05.713
299,27DC,10204,2026-04-04 23:59:05.716
300,CFCE,53198,2026-04-04 23:59:05.719
301,C7A5,51109,2026-04-04 23:59:05.722
302,B6D5,46805,2026-04-04 23:59:05.726
303,F322,62242,2026-04-04 23:59:05.729
304,8C43,35907,2026-04-04 23:59:05.732
305,EB0D,60173,2026-04-04 23:59:05.735
306,9608,38408,2026-04-04 23:59:05.738
307,9ACB,39627,2026-04-04 23:59:05.741
308,9A32,39474,2026-04-04 23:59:05.744
309,3E66,15974,2026-04-04 23:59:05.748
310,9119,37145,2026-04-04 23:59:05.751
311,11C0,4544,2026-04-04 23:59:05.754
312,C23B,49723,2026-04-04 23:59:05.757
313,22CB,8907,2026-04-04 23:59:05.760
314,8154,33108,2026-04-04 23:59:05.763
315,95C3,38339,2026-04-04 23:59:05.766
316,B51E,46366,2026-04-04 23:59:05.770
317,94F3,38131,2026-04-04 23:59:05.773
318,A288,41608,2026-04-04 23:59:05.776
319,7E36,32310,2026-04-04 23:59:05.779
320,BF46,48966,2026-04-04 23:59:05.782
321,63A7,25511,2026-04-04 23:59:05.785
322,3207,12807,2026-04-04 23:59:05.788
323,C021,49185,2026-04-04 23:59:05.792
324,0732,1842,2026-04-04 23:59:05.795
325,B790,46992,2026-04-04 23:59:05.798
326,C977,51575,2026-04-04 23:59:05.801
327,F56B,62827,2026-04-04 23:59:05.804
328,D578,54648,2026-04-04 23:59:05.807
329,7A2F,31279,2026-04-04 23:59:05.810
330,4400,17408,2026-04-04 23:59:05.814
331,D31F,54047,2026-04-04 23:59:05.817
332,B740,46912,2026-04-04 23:59:05.820
333,0373,883,2026-04-04 23:59:05.823
334,5A20,23072,2026-04-04 23:59:05.826
335,3180,12672,2026-04-04 23:59:05.829
336,CDE4,52708,2026-04-04 23:59:05.832
337,AAAC,43692,2026-04-04 23:59:05.836
338,4A54,19028,2026-04-04 23:59:05.839
339,21B4,8628,2026-04-04 23:59:05.842
340,E307,58119,2026-04-04 23:59:05.845
341,95EB,38379,2026-04-04 23:59:05.848
342,EC7C,60540,2026-04-04 23:59:05.851
343,7108,28936,2026-04-04 23:59:05.854
344,F614,62996,2026-04-04 23:59:05.858
345,87A4,34724,2026-04-04 23:59:05.861
346,53DB,21467,2026-04-04 23:59:05.864
347,4F88,20360,2026-04-04 23:59:05.867
348,04B6,1206,2026-04-04 23:59:05.870
349,B271,45681,2026-04-04 23:59:05.873
350,2223,8739,2026-04-04 23:59:05.876
351,4B48,19272,2026-04-04 23:59:05.880
352,C3C7,50119,2026-04-04 23:59:05.883
353,814D,33101,2026-04-04 23:59:05.886
354,830B,33547,2026-04-04 23:59:05.889
355,D7BD,55229,2026-04-04 23:59:05.892
356,1B03,6915,2026-04-04 23:59:05.895
357,61FB,25083,2026-04-04 23:59:05.898
358,9339,37689,2026-04-04 23:59:05.902
359,0DFE,3582,2026-04-04 23:59:05.905
360,2F4E,12110,2026-04-04 23:59:05.908
361,FEF8,65272,2026-04-04 23:59:05.911
362,26A4,9892,2026-04-04 23:59:05.914
363,D70D,55053,2026-04-04 23:59:05.917
364,53AE,21422,2026-04-04 23:59:05.920
365,29B5,10677,2026-04-04 23:59:05.924
366,E3E0,58336,2026-04-04 23:59:05.927
367,A61E,42526,2026-04-04 23:59:05.930
368,3AB8,15032,2026-04-04 23:59:05.933
369,EA71,60017,2026-04-04 23:59:05.936
370,8396,33686,2026-04-04 23:59:05.939
371,631A,25370,2026-04-04 23:59:05.942
372,7259,29273,2026-04-04 23:59:05.946
373,A336,41782,2026-04-04 23:59:05.949
374,0750,1872,2026-04-04 23:59:05.952
375,8972,35186,2026-04-04 23:59:05.955
376,0C52,3154,2026-04-04 23:59:05.958
377,5914,22804,2026-04-04 23:59:05.961
378,1FFC,8188,2026-04-04 23:59:05.964
379,02E7,743,2026-04-04 23:59:05.968
380,D4C6,54470,2026-04-04 23:59:05.971
381,582C,22572,2026-04-04 23:59:05.974
382,360C,13836,2026-04-04 23:59:05.977
383,4648,17992,2026-04-04 23:59:05.980
384,BF15,48917,2026-04-04 23:59:05.983
385,79F8,31224,2026-04-04 23:59:05.986
386,B509,46345,2026-04-04 23:59:05.990
387,7D94,32148,2026-04-04 23:59:05.993
388,51A8,20904,2026-04-04 23:59:05.996
389,C918,51480,2026-04-04 23:59:05.999
390,95AA,38314,2026-04-04 23:59:06.002
391,8DD4,36308,2026-04-04 23:59:06.005
392,FA94,64148,2026-04-04 23:59:06.008
393,1594,5524,2026-04-04 23:59:06.011
394,0CD9,3289,2026-04-04 23:59:06.015
395,8A87,35463,2026-04-04 23:59:06.018
396,03A4,932,2026-04-04 23:59:06.021
397,7225,29221,2026-04-04 23:59:06.024
398,439C,17308,2026-04-04 23:59:06.027
399,0524,1316,2026-04-04 23:59:06.030
400,888E,34958,2026-04-04 23:59:06.033
401,65BC,26044,2026-04-04 23:59:06.037
402,D503,54531,2026-04-04 23:59:06.040
403,31BE,12734,2026-04-04 23:59:06.043
404,BE36,48694,2026-04-04 23:59:06.046
405,F425,62501,2026-04-04 23:59:06.049
406,902E,36910,2026-04-04 23:59:06.052
407,1CDE,7390,2026-04-04 23:59:06.055
408,EC2E,60462,2026-04-04 23:59:06.059
409,D4F2,54514,2026-04-04 23:59:06.062
410,EACA,60106,2026-04-04 23:59:06.065
411,F81D,63517,2026-04-04 23:59:06.068
412,88D6,35030,2026-04-04 23:59:06.071
413,EAE2,60130,2026-04-04 23:59:06.074
414,BB03,47875,2026-04-04 23:59:06.077
415,A956,43350,2026-04-04 23:59:06.081
416,5756,22358,2026-04-04 23:59:06.084
417,8D84,36228,2026-04-04 23:59:06.087
418,0132,306,2026-04-04 23:59:06.090
419,1201,4609,2026-04-04 23:59:06.093
420,69E0,27104,2026-04-04 23:59:06.096
421,D05E,53342,2026-04-04 23:59:06.099
422,EC75,60533,2026-04-04 23:59:06.103
423,FE69,65129,2026-04-04 23:59:06.106
424,E564,58724,2026-04-04 23:59:06.109
425,8AD0,35536,2026-04-04 23:59:06.112
426,ED3D,60733,2026-04-04 23:59:06.115
427,8A32,35378,2026-04-04 23:59:06.118
428,5B23,23331,2026-04-04 23:59:06.121
429,1E36,7734,2026-04-04 23:59:06.125
430,0D13,3347,2026-04-04 23:59:06.128
431,1966,6502,2026-04-04 23:59:06.131
432,3497,13463,2026-04-04 23:59:06.134
433,5CF6,23798,2026-04-04 23:59:06.137
434,BB62,47970,2026-04-04 23:59:06.140
435,0C05,3077,2026-04-04 23:59:06.143
436,4661,18017,2026-04-04 23:59:06.147
437,C456,50262,2026-04-04 23:59:06.150
438,9D04,40196,2026-04-04 23:59:06.153
439,57C5,22469,2026-04-04 23:59:06.156
440,9287,37511,2026-04-04 23:59:06.159
441,8A41,35393,2026-04-04 23:59:06.162
442,144C,5196,2026-04-04 23:59:06.165
443,2A7D,10877,2026-04-04 23:59:06.169
444,70F4,28916,2026-04-04 23:59:06.172
445,9CAA,40106,2026-04-04 23:59:06.175
446,4B14,19220,2026-04-04 23:59:06.178
447,E41D,58397,2026-04-04 23:59:06.181
448,80E6,32998,2026-04-04 23:59:06.184
449,5BBF,23487,2026-04-04 23:59:06.187
450,9584,38276,2026-04-04 23:59:06.191
451,86FF,34559,2026-04-04 23:59:06.194
452,1BDA,7130,2026-04-04 23:59:06.197
453,D345,54085,2026-04-04 23:59:06.200
454,1100,4352,2026-04-04 23:59:06.203
455,EE30,60976,2026-04-04 23:59:06.206
456,114F,4431,2026-04-04 23:59:06.209
457,1639,5689,2026-04-04 23:59:06.213
458,D2A4,53924,2026-04-04 23:59:06.216
459,9249,37449,2026-04-04 23:59:06.219
460,32FB,13051,2026-04-04 23:59:06.222
461,4EC6,20166,2026-04-04 23:59:06.225
462,C0E7,49383,2026-04-04 23:59:06.228
463,AA85,43653,2026-04-04 23:59:06.231
464,9202,37378,2026-04-04 23:59:06.235
465,FD71,64881,2026-04-04 23:59:06.238
466,3F95,16277,2026-04-04 23:59:06.241
467,844A,33866,2026-04-04 23:59:06.244
468,2B05,11013,2026-04-04 23:59:06.247
469,D73A,55098,2026-04-04 23:59:06.250
470,8E01,36353,2026-04-04 23:59:06.253
471,4E70,20080,2026-04-04 23:59:06.257
472,A8EC,43244,2026-04-04 23:59:06.260
473,E074,57460,2026-04-04 23:59:06.263
474,E324,58148,2026-04-04 23:59:06.266
475,5A5F,23135,2026-04-04 23:59:06.269
476,E89A,59546,2026-04-04 23:59:06.272
477,2C17,11287,2026-04-04 23:59:06.275
478,92FF,37631,2026-04-04 23:59:06.279
479,1912,6418,2026-04-04 23:59:06.282
480,A8D6,43222,2026-04-04 23:59:06.285
481,1B42,6978,2026-04-04 23:59:06.288
482,0C85,3205,2026-04-04 23:59:06.291
483,E642,58946,2026-04-04 23:59:06.294
484,AE85,44677,2026-04-04 23:59:06.297
485,E881,59521,2026-04-04 23:59:06.301
486,A7B1,42929,2026-04-04 23:59:06.304
487,60C2,24770,2026-04-04 23:59:06.307
488,6445,25669,2026-04-04 23:59:06.310
489,37DB,14299,2026-04-04 23:59:06.313
490,B0A9,45225,2026-04-04 23:59:06.316
491,1650,5712,2026-04-04 23:59:06.319
492,AE0A,44554,2026-04-04 23:59:06.323
493,D7C2,55234,2026-04-04 23:59:06.326
494,BFC2,49090,2026-04-04 23:59:06.329
495,CFC5,53189,2026-04-04 23:59:06.332
496,09CF,2511,2026-04-04 23:59:06.335
497,B6B7,46775,2026-04-04 23:59:06.338
498,901B,36891,2026-04-04 23:59:06.341
499,866F,34415,2026-04-04 23:59:06.345
500,CFC5,53189,2026-04-04 23:59:06.348
501,5F76,24438,2026-04-04 23:59:06.351
502,8430,33840,2026-04-04 23:59:06.354
503,AD66,44390,2026-04-04 23:59:06.357
504,2234,8756,2026-04-04 23:59:06.360
505,4ED0,20176,2026-04-04 23:59:06.363
506,A879,43129,2026-04-04 23:59:06.366
507,A74C,42828,2026-04-04 23:59:06.370
508,5FFB,24571,2026-04-04 23:59:06.373
509,6F24,28452,2026-04-04 23:59:06.376
510,39BD,14781,2026-04-04 23:59:06.379
511,130B,4875,2026-04-04 23:59:06.382
512,A697,42647,2026-04-04 23:59:06.385
513,0A61,2657,2026-04-04 23:59:06.388
514,9C39,39993,2026-04-04 23:59:06.392
515,1BFC,7164,2026-04-04 23:59:06.395
516,7388,29576,2026-04-04 23:59:06.398
517,26E5,9957,2026-04-04 23:59:06.401
518,566C,22124,2026-04-04 23:59:06.404
519,3CF0,15600,2026-04-04 23:59:06.407
520,9A70,39536,2026-04-04 23:59:06.410
521,CA82,51842,2026-04-04 23:59:06.414
522,F689,63113,2026-04-04 23:59:06.417
523,10C3,4291,2026-04-04 23:59:06.420
524,2BAF,11183,2026-04-04 23:59:06.423
525,70BA,28858,2026-04-04 23:59:06.426
526,671E,26398,2026-04-04 23:59:06.429
527,421F,16927,2026-04-04 23:59:06.432
528,B89B,47259,2026-04-04 23:59:06.436
529,1282,4738,2026-04-04 23:59:06.439
530,BAD9,47833,2026-04-04 23:59:06.442
531,E385,58245,2026-04-04 23:59:06.445
532,A91E,43294,2026-04-04 23:59:06.448
533,4B48,19272,2026-04-04 23:59:06.451
534,8191,33169,2026-04-04 23:59:06.454
535,F8F9,63737,2026-04-04 23:59:06.458
536,04D7,1239,2026-04-04 23:59:06.461
537,0B1A,2842,2026-04-04 23:59:06.464
538,AD8B,44427,2026-04-04 23:59:06.467
539,2703,9987,2026-04-04 23:59:06.470
540,29B7,10679,2026-04-04 23:59:06.473
541,4E9C,20124,2026-04-04 23:59:06.476
542,CDE7,52711,2026-04-04 23:59:06.480
543,4003,16387,2026-04-04 23:59:06.483
544,B6AC,46764,2026-04-04 23:59:06.486
545,4BBA,19386,2026-04-04 23:59:06.489
546,39C1,14785,2026-04-04 23:59:06.492
547,6D1E,27934,2026-04-04 23:59:06.495
548,79FC,31228,2026-04-04 23:59:06.498
549,1679,5753,2026-04-04 23:59:06.502
550,7960,31072,2026-04-04 23:59:06.505
551,909B,37019,2026-04-04 23:59:06.508
552,02DF,735,2026-04-04 23:59:06.511
553,1D03,7427,2026-04-04 23:59:06.514
554,F8E6,63718,2026-04-04 23:59:06.517
555,8CEF,36079,2026-04-04 23:59:06.520
556,2814,10260,2026-04-04 23:59:06.524
557,8E2E,36398,2026-04-04 23:59:06.527
558,CB9A,52122,2026-04-04 23:59:06.530
559,408D,16525,2026-04-04 23:59:06.533
560,D94C,55628,2026-04-04 23:59:06.536
561,16CE,5838,2026-04-04 23:59:06.539
562,DF5E,57182,2026-04-04 23:59:06.542
563,3B35,15157,2026-04-04 23:59:06.546
564,C949,51529,2026-04-04 23:59:06.549
565,AA1F,43551,2026-04-04 23:59:06.552
566,5826,22566,2026-04-04 23:59:06.555
567,3C45,15429,2026-04-04 23:59:06.558
568,006E,110,2026-04-04 23:59:06.561
569,EA4C,59980,2026-04-04 23:59:06.564
570,8327,33575,2026-04-04 23:59:06.568
571,73EC,29676,2026-04-04 23:59:06.571
572,4B0B,19211,2026-04-04 23:59:06.574
573,16F9,5881,2026-04-04 23:59:06.577
574,F260,62048,2026-04-04 23:59:06.580
575,0765,1893,2026-04-04 23:59:06.583
576,182A,6186,2026-04-04 23:59:06.586
577,68A2,26786,2026-04-04 23:59:06.590
578,2D77,11639,2026-04-04 23:59:06.593
579,1E63,7779,2026-04-04 23:59:06.596
580,E51A,58650,2026-04-04 23:59:06.599
581,3A04,14852,2026-04-04 23:59:06.602
582,3DFD,15869,2026-04-04 23:59:06.605
583,4E6C,20076,2026-04-04 23:59:06.608
584,D183,53635,2026-04-04 23:59:06.612
